Trait,Domain,Category,Branch,Tier,Cost,Display,Req,X
Biestial Abomination,Biest,Genetic Mutation,Aberration,T2,14,Aberration Increase Characteristic 1 - Your Choice,,
Biestial Albinism,Biest,Genetic Mutation,Aberration,T2,18,Increase Characteristic 2 - Your Choice; Decrease Characteristic 1 - Your Choice; Quickness 1,,
Biestial Regeneration,Biest,Genetic Mutation,Aberration,T2,20,Regeneration 2 Extreme Mutation 10pts (Natural Weapons and Defenses): Phenotypic Morph 1 - Your choice,,
Greater Natural Mutation,Biest,Genetic Mutation,Aberration,T2,12,(Natural Weapons and Defenses): Natural Weapon or Defense 1 - Your choice  ,,
Multi-Headed,Biest,Genetic Mutation,Aberration,T2,22,Multi-Headed 1,,
Ocular Albinism,Biest,Genetic Mutation,Aberration,T2,8,Reduce Cover 1; Increase Ranged 1; Prerequisite Trait: Biestial Albinism,,
Psychic Vampire,Biest,Genetic Mutation,Aberration,T2,18,Energy Drain 1; Energy Absorption 1,,
Soulless Biest,Biest,Genetic Mutation,Aberration,T2,15,Soulless,,
Biestial Horns/Tusks,Biest,Genetic Mutation,Biological Mutations,T1,3,(Natural Weapons): Horns/Tusks 1,,
Deadly Natural Weapon,Biest,Genetic Mutation,Biological Mutations,T1,5,(Natural Weapon): Claws 1; Talons 1; Fangs 1; or Bite 1,,
Multi-Limbed,Biest,Genetic Mutation,Biological Mutations,T1,12,Increase Attacks 1,,
Natural Biomorph Mutation,Biest,Genetic Mutation,Biological Mutations,T1,10,Natural Weapons and Defenses): Phenotypic Morph 1 - Your Choice,,
Calcified Bone Protrusions,Biest,Genetic Mutation,Biological Mutations,T2,6,(Naturals and Weapons): Bone 2 - Any Morph,,
Crushing Attack,Biest,Genetic Mutation,Biological Mutations,T2,14,(Natural Weapon): Crushing 2 - Any Morph,,
Dual Heads,Biest,Genetic Mutation,Biological Mutations,T2,8,All Around Sight 1,,
Greater Speed,Biest,Genetic Mutation,Biological Mutations,T2,6,Increase Movement 1,,
Gigantism,Biest,Genetic Mutation,Gigantism,T1,12,Increase Toughness 1; Increase Strength 1; Decrease Discipline 1; Decrease Command 1; Increase Model Size 1,,
Aggressive Strength,Biest,Genetic Mutation,Gigantism,T2,10,Increase Strength 2; Decrease Defense 1,,
Giant’s Smash,Biest,Genetic Mutation,Gigantism,T2,6,Smash Attack 1,,
Titanic Biest,Biest,Genetic Mutation,Gigantism,T2,24,Increase Toughness 1; Increase Wound 2; Model Size 1,,
Violent Rage,Biest,Genetic Mutation,Gigantism,T2,8,Increase Damage 2 - Melee Only,,
Heavily Mixed (Mutt) Heritage,Biest,Environmental Adaptation,Breeding Adaptations,T1,4,Increase 2 Lowest Characteristics by 1; Species Trait Only; Model may not take Selective Breeding,,
Preferred Traits,Biest,Environmental Adaptation,Breeding Adaptations,T1,7,Increase Ability 1 - Your choice; Model may not have Heavily Mixed (Mutt) Heritage,,
Improved Discipline,Biest,Environmental Adaptation,Breeding Adaptations,T1,4,Increased Discipline 2,,
Selective Breeding,Biest,Environmental Adaptation,Breeding Adaptations,T2,15,Increase Characteristic 2- Your Choice; Decrease Opposite Characteristic 1; Model may not have Heavily Mixed (Mutt) Heritage,,
Elite Breeds,Biest,Environmental Adaptation,Breeding Adaptations,T2,10,Increase Command 2,,
Biest Councils,Biest,Environmental Adaptation,Cultural and Social,T1,3,Increase Progression Points 10%.  Squad Size 1; Species Trait Only,,
Biest Tribes,Biest,Environmental Adaptation,Cultural and Social,T1,3,Class Bonus 2 - Level 2; Class Bonus 1 - Level 3; Species Trait Only,,
Elevated Aristocracy,Biest,Environmental Adaptation,Cultural and Social,T1,2,Increase Command 2 - for one Class of Your Choice; Species Trait Only,,
Regional Adaptation,Biest,Environmental Adaptation,Cultural and Social,T1,2,Regional Adaptation 1,,
Slave Population,Biest,Environmental Adaptation,Cultural and Social,T1,2,Slave Population; Species Trait Only,,
Feral Gladiatorial Pits,Biest,Environmental Adaptation,Cultural and Social,T2,2,Warrior Slaves; Species Trait Only,,
Spirit Biests,Biest,Environmental Adaptation,Cultural and Social,T2,3,Bonus Class 2 - Level 5; Species Trait Only,,
Massed Hordes,Biest,Environmental Adaptation,Cultural and Social,T2,3,Hordes 3 (Common); Species Trait Only,,
Regional Specialization,Biest,Environmental Adaptation,Cultural and Social,T2,0,Regional Specialization 1; Species Trait Only,,
Secret Enclaves,Biest,Environmental Adaptation,Cultural and Social,T2,3,Increase Command Value 2; Decrease Discipline 1; Species Trait Only,,
Extremis Resistance,Biest,Environmental Adaptation,Environmental Extremes,T1,3,Resistance Extremis 2 Weakness 1- Your Choice of 1 Extremis,,
Extremis Weakness,Biest,Environmental Adaptation,Environmental Extremes,T1,0,Resistance Extremis 0 Weakness 2 - Your Choice of 1 Extremis Resistance 1,,
Combined Resistance,Biest,Environmental Adaptation,Environmental Extremes,T1,1,Rare Traits 2 - Resistance Extremis Traits only Resistance Extremis 1 - Your Choice of 1 Extremis,,
Extremis Immunities,Biest,Environmental Adaptation,Environmental Extremes,T2,5,Resistance Immunity - Your Choice of 1 Extremis,,
Great Resistance,Biest,Environmental Adaptation,Environmental Extremes,T2,4,Resistance Extremis 3; Weakness 1 - Your Choice of 1 Extremis,,
Agile,Biest,Environmental Adaptation,Mobility,T1,4,Evasion 1,,
Biest Charger,Biest,Environmental Adaptation,Mobility,T1,4,Charger 1,,
Greater Evasion,Biest,Environmental Adaptation,Mobility,T2,4,Evasion 1,,
Greater Movement,Biest,Environmental Adaptation,Mobility,T2,6,Increase Movement 1,,
Sprinters,Biest,Environmental Adaptation,Mobility,T2,4,Natural Sprinter 3,,
Biestial Crossbreed,Biest,Environmental Adaptation,Monstrous Creatures,T1,4,Biestial Hybrid 1; Class Trait Only,,
Hybrid Monster,Biest,Environmental Adaptation,Monstrous Creatures,T1,5,(Monsters of Myth and Legend): Hybrid Monster 1; Class Only Trait,,
Monstrous Beast,Biest,Environmental Adaptation,Monstrous Creatures,T1,20,(Monsters of Myth and Legend): Monster 4,,
Camouflage,Biest,Environmental Adaptation,Omnivore,T1,3,Concealment,,
Regional Adaptation,Biest,Environmental Adaptation,Omnivore,T1,3,Regional Adaptation 1,,
Field Scavenger,Biest,Environmental Adaptation,Omnivore,T1,0,Scavenger 1,,
Highly Adaptable,Biest,Environmental Adaptation,Omnivore,T2,2,Bonus Traits 2 - from either Lesser Predatorial Advantage or Prey Adaptions,,
Camouflage,Biest,Environmental Adaptation,Carnivore,T1,2,Concealment,,
Burst of Speed,Biest,Environmental Adaptation,Carnivore,T1,3,Burst of Speed 2,,
Sharp Teeth and Claws,Biest,Environmental Adaptation,Carnivore,T1,3,Increase Damage 1,,
Predatorial Leap,Biest,Environmental Adaptation,Carnivore,T1,3,Leap 6,,
Instinctive Assault,Biest,Environmental Adaptation,Carnivore,T2,5,Instinctive Assault - Carnivores Only,,
Forward Facing Eyes,Biest,Environmental Adaptation,Carnivore,T2,8,Increase Martial 2,,
Predatory Assault,Biest,Environmental Adaptation,Carnivore,T2,12,Relentless Assault 1,,
Safety in Numbers,Biest,Environmental Adaptation,Herbivore,T1,2,Squad Size 2,,
Camouflage,Biest,Environmental Adaptation,Herbivore,T1,2,Concealment,,
Prey Agility,Biest,Environmental Adaptation,Herbivore,T1,4,Evasion 1,,
Built for Speed,Biest,Environmental Adaptation,Herbivore,T2,8,Increase Movement 2,,
Instinctive Reflexes,Biest,Environmental Adaptation,Herbivore,T2,4,Instinctive Reflexes,,
Side Vision,Biest,Environmental Adaptation,Herbivore,T2,6,All Around Sight 2,,
Fast Runners,Biest,Environmental Adaptation,Herbivore,T2,10,Rigorous Runner 1,,
Recon,Biest,Spiritual and Scientific,Ambush,T1,3,Recon 12- Class Trait only,,
Dirty Fighting,Biest,Spiritual and Scientific,Ambush,T1,4,Dirty Fighting,,
Surprise Assault,Biest,Spiritual and Scientific,Ambush,T1,2,Surprise Assault,,
Sentry,Biest,Spiritual and Scientific,Ambush,T1,6,Sentry 8,,
Quick Deployment,Biest,Spiritual and Scientific,Ambush,T1,2,Lay of the Land 1,,
Blending in,Biest,Spiritual and Scientific,Ambush,T1,4,Advantageous Cover 2,,
Great Warrior,Biest,Spiritual and Scientific,Ambush,T2,8,War Veteran - Class Trait Only,,
Greater Infiltration,Biest,Spiritual and Scientific,Ambush,T2,6,Infiltrate 20 - Class Trait Only,,
Stealth,Biest,Spiritual and Scientific,Ambush,T2,5,Stealth 1,,
Blacksmithing,Biest,Spiritual and Scientific,Armory,T1,0,Armory: Advanced Weapon 1 10pts - Melee or Ranged Weapon Only,,
Superior Arms,Biest,Spiritual and Scientific,Armory,T1,3,Armory: Bonus Trait 1 - Humanoid 1st Tier Armory Trait,,
Superior Weapons,Biest,Spiritual and Scientific,Armory,T2,0,Armory: Advanced Weapon 2 20pts - Melee or Ranged Weapon Only,,
Advanced Armory,Biest,Spiritual and Scientific,Armory,T2,4,Armory: Bonus Trait 1 - Humanoid 1st Tier or 2nd Tier Armory Trait,,
Melee Combatant,Biest,Spiritual and Scientific,Combat Tactics,T1,9,Increase Melee Attacks 1,,
Mounted Warrior,Biest,Spiritual and Scientific,Combat Tactics,T1,4,Mounted Combat 1,,
Shield Bash,Biest,Spiritual and Scientific,Combat Tactics,T1,4,Shield Bash 1,,
Ranged Expertise,Biest,Spiritual and Scientific,Combat Tactics,T1,6,Increase Ranged 1,,
Champion Combatant,Biest,Spiritual and Scientific,Combat Tactics,T2,10,Quickness 2; Class Trait Only (Level 3+) ,,
Battle Hardened,Biest,Spiritual and Scientific,Combat Tactics,T2,8,War Veteran; Class Trait Only,,
Marksman,Biest,Spiritual and Scientific,Combat Tactics,T2,8,Increase Ranged 1,,
Skilled Combatant,Biest,Spiritual and Scientific,Combat Tactics,T2,12,Increase Martial 2,,
Beasts of the Great Hunt,Biest,Spiritual and Scientific,Great Hunt,T1,1,War Animals; Class Trait Only,,
2nd Tier Beasts,Biest,Spiritual and Scientific,Great Hunt,T1,3,War Beasts; Class Trait only,,
Hunt them Down,Biest,Spiritual and Scientific,Great Hunt,T1,10,Combat Enhancement 2 vs Level 1-2 Classes; Class Trait Only,,
Lone Hunter,Biest,Spiritual and Scientific,Great Hunt,T1,3,Loner,,
Hunter Marksman,Biest,Spiritual and Scientific,Great Hunt,T2,12,Increase Ranged 2,,
Aimed Shot,Biest,Spiritual and Scientific,Great Hunt,T2,10,Aimed Shot 3; Class Trait Only,,
Relentless Pursuit,Biest,Spiritual and Scientific,Great Hunt,T2,18,Relentless Assault 1,,
Biest Survivalist,Biest,Spiritual and Scientific,Great Hunt,T2,5,Survivalist 2; Class Trait Only,,
Warlord,Biest,Spiritual and Scientific,Great Hunt,T2,6,Might Makes Right; Class Trait Only,,
The Occult,Biest,Spiritual and Scientific,Occult,T1,2,Occult 1; Class Trait Only,,
The Blood Sacrifice,Biest,Spiritual and Scientific,Occult,T2,5,Blood Sacrifice,,
Occult Leaders,Biest,Spiritual and Scientific,Occult,T2,10,Increase Willpower 2; Class Trait Only (Level 3+) ,,
Occult Powers,Biest,Spiritual and Scientific,Occult,T2,2,Occult 1st Tier Powers 1,,
Ritual Mastery,Biest,Spiritual and Scientific,Occult,T2,10,Occult 1; Occult Powers 2; Class Trait Only,,
Forbidden Knowledge,Biest,Spiritual and Scientific,Occult,T2,30,Forbidden Lore - Light or Darkness Spheres Only; Class Trait Only (Levels 3+) ,,
Shamanism,Biest,Spiritual and Scientific,Shamanism,T1,8,Shaman 1; Shaman Power 1; Class Trait Only,,
Communion with animal spirits,Biest,Spiritual and Scientific,Shamanism,T2,10,Focus 2,,
Ethereal Strength,Biest,Spiritual and Scientific,Shamanism,T2,6,Ethereal Fortitude 1,,
Elder Shaman,Biest,Spiritual and Scientific,Shamanism,T2,22,Shaman 2; Shaman Powers 2,,
One with the Land,Biest,Spiritual and Scientific,Shamanism,T2,4,Communion with the Land 1,,
Mystical Strength,Biest,Spiritual and Scientific,Shamanism,T2,12,Increase Willpower 2,,
Primordial Knowledge,Biest,Spiritual and Scientific,Shamanism,T2,30,Forbidden Lore - Primordial Fey Spheres only; Class Trait Only (Levels 3+) ,,
Biestial Relics,Biest,Spiritual and Scientific,Shamanism,T2,15,Spiritual Relic 2,,
